Ticker,CompanyName,Year,Date,Revenue,GrossProfit,OperatingIncome,NetIncome,GrossProfitMargin,OperatingProfitMargin,NetProfitMargin,EffectiveTaxRate
DG,Dollar General,2020,2020-10-30,8199625000.0,2568240000.0,773130000.0,574260000.0,31.32143238257847,9.428845831364239,7.003491013308535,21.638247238111873
DG,Dollar General,2020,2020-07-31,8684241000.0,2818235000.0,1042627000.0,787601000.0,32.45228915227018,12.005965748762614,9.069313023440968,21.49903169637028
DLTR,Dollar Tree,2021,2021-05-01,6479700000.0,1967000000.0,519900000.0,374500000.0,30.356343657885397,8.02351960738923,5.779588561198821,23.08482234545081
DLTR,Dollar Tree,2021,2021-01-30,6767900000.0,2160400000.0,718100000.0,502800000.0,31.921275432556627,10.610381359062634,7.429187783507439,22.335495829471732
DLTR,Dollar Tree,2020,2020-10-31,6177000000.0,1935300000.0,511800000.0,330000000.0,31.33074307916464,8.285575522098105,5.342399222923749,22.77088696466183
DLTR,Dollar Tree,2020,2020-08-01,6277600000.0,1927600000.0,508500000.0,261500000.0,30.70600229387027,8.10022938702689,4.165604689690328,23.06560753162695
D,Dominion Energy,2021,2021-06-30,3038000000.0,1510000000.0,786000000.0,285000000.0,49.70375246872943,25.87228439763002,9.381171823568137,-21.17117117117117
D,Dominion Energy,2021,2021-03-31,3870000000.0,1886000000.0,1257000000.0,1008000000.0,48.73385012919897,32.48062015503876,26.046511627906977,17.78523489932886
D,Dominion Energy,2020,2020-12-31,3521000000.0,1762000000.0,750000000.0,682000000.0,50.04260153365521,21.300766827605795,19.369497301902868,20.176297747306563
D,Dominion Energy,2020,2020-09-30,3607000000.0,1998000000.0,951000000.0,356000000.0,55.392292764069865,26.365400609925143,9.86969780981425,-5500.0
DPZ,Domino's Pizza,2021,2021-06-20,1032472000.0,291350000.0,190902000.0,116619000.0,28.21868292796318,18.489799239107697,11.295124710403769,19.624654531920907
DPZ,Domino's Pizza,2021,2021-03-28,983698000.0,277791000.0,186538000.0,117761000.0,28.239459671565864,18.962933745926087,11.971255405622458,21.302743955412396
DPZ,Domino's Pizza,2021,2021-01-03,1356567000.0,382448000.0,244044000.0,151897000.0,28.192341402967934,17.989822839564873,11.197161658804909,19.870756732519187
DPZ,Domino's Pizza,2020,2020-09-06,967719000.0,253833000.0,162181000.0,99129000.0,26.230031651750146,16.759100524015754,10.243572772674712,19.910642870416005
DOV,Dover Corporation,2021,2021-09-30,2018269000.0,756773000.0,348134000.0,263756000.0,37.49614149550927,17.249137751211556,13.068426458514699,19.46848885102849
DOV,Dover Corporation,2021,2021-06-30,2031676000.0,777011000.0,354879000.0,264508000.0,38.24482840767918,17.467302857345366,13.019201880614823,18.196100747191846
DOV,Dover Corporation,2021,2021-03-31,1867901000.0,725455000.0,320301000.0,232769000.0,38.83797910060544,17.14764326374899,12.461527671969767,19.526707000864306
DOV,Dover Corporation,2020,2020-12-31,1780390000.0,658535000.0,265546000.0,182106000.0,36.98824414875392,14.915046703250411,10.228433096119389,17.377772131683063
DOW,Dow,2021,2021-06-30,13885000000.0,3247000000.0,2565000000.0,1901000000.0,23.384947785379907,18.473172488296726,13.691033489377025,21.335504885993487
DOW,Dow,2021,2021-03-31,11882000000.0,1820000000.0,1234000000.0,991000000.0,15.317286652078774,10.385456993772092,8.340346742972564,23.960695389266817
DOW,Dow,2020,2020-12-31,10706000000.0,1567000000.0,847000000.0,1236000000.0,14.636652344479732,7.911451522510742,11.54492807771343,30.947136563876654
DOW,Dow,2020,2020-09-30,9712000000.0,1341000000.0,702000000.0,-25000000.0,13.807660626029655,7.2281713344316305,-0.2574135090609555,102.38095238095238
DTE,DTE Energy,2021,2021-06-30,3229000000.0,885000000.0,388000000.0,179000000.0,27.407866212449676,12.016104056983586,5.543511923196036,10.945273631840797
DTE,DTE Energy,2021,2021-03-31,3778000000.0,1026000000.0,532000000.0,397000000.0,27.157226045526734,14.081524616199047,10.508205399682371,6.588235294117648
DTE,DTE Energy,2020,2020-12-31,3288000000.0,949000000.0,453000000.0,275000000.0,28.862530413625304,13.777372262773724,8.363746958637469,15.123456790123457
DTE,DTE Energy,2020,2020-09-30,3284000000.0,1061000000.0,597000000.0,476000000.0,32.30816077953715,18.17904993909866,14.494518879415347,11.666666666666666
DUK,Duke Energy,2021,2021-06-30,5758000000.0,2854000000.0,1298000000.0,765000000.0,49.56582146578673,22.5425494963529,13.285863146926017,4.904632152588556
